Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548339964428907,1711548380768132864,1711548339976662013,1711548339976768951,1711548384768132864,10000
1711548339974561772,1711548392768132864,1711548339986985776,1711548339986988086,1711548395768132864,1711548339974785854
1711548339974791169,1711548402768132864,1711548339997190020,1711548339997192216,1711548405768132864,10000
1711548339984911478,1711548412768132864,1711548340007390237,1711548340007392304,1711548415768132864,1711548339984989560
1711548339984994233,1711548422768132864,1711548340017593548,1711548340017595628,1711548425768132864,10000
1711548339995113633,1711548432768132864,1711548340027796405,1711548340027798476,1711548434768132864,1711548339995193379
1711548339995198135,1711548442768132864,1711548340037997722,1711548340037999810,1711548444768132864,10000
1711548340005317627,1711548452768132864,1711548340048198246,1711548340048200310,1711548454768132864,1711548340005392903
1711548340005397696,1711548462768132864,1711548340058398388,1711548340058399961,1711548464768132864,10000
1711548340015517046,1711548472768132864,1711548340068597569,1711548340068598978,1711548474768132864,1711548340015596934
1711548340015601768,1711548482768132864,1711548340078795326,1711548340078796922,1711548484768132864,10000
1711548340025721332,1711548492768132864,1711548340088992742,1711548340088994166,1711548494768132864,1711548340025798802
1711548340025803554,1711548502768132864,1711548340099190667,1711548340099192317,1711548504768132864,10000
1711548340035923461,1711548512768132864,1711548340109390216,1711548340109391652,1711548514768132864,1711548340036000907
1711548340036005664,1711548522768132864,1711548340119588339,1711548340119589919,1711548524768132864,10000
1711548340046125369,1711548532768132864,1711548340129786618,1711548340129788073,1711548534768132864,1711548340046200986
1711548340046205839,1711548542768132864,1711548340139981254,1711548340139982751,1711548544768132864,10000
1711548340056325095,1711548552768132864,1711548340150179106,1711548340150180558,1711548554768132864,1711548340056401376
1711548340056406142,1711548562768132864,1711548340160374466,1711548340160375919,1711548564768132864,10000
1711548340066525698,1711548572768132864,1711548340170570388,1711548340170571930,1711548574768132864,1711548340066599107
1711548340066603824,1711548582768132864,1711548340180769760,1711548340180771198,1711548584768132864,10000
1711548340076722993,1711548592768132864,1711548340190965224,1711548340190966757,1711548594768132864,1711548340076796922
1711548340076801787,1711548602768132864,1711548340201163061,1711548340201164576,1711548604768132864,10000
1711548340086921612,1711548612768132864,1711548340211358821,1711548340211360621,1711548614768132864,1711548340086994715
1711548340086999564,1711548622768132864,1711548340221558380,1711548340221559810,1711548624768132864,10000
1711548340097120034,1711548632768132864,1711548340231754711,1711548340231756191,1711548634768132864,1711548340097194581
1711548340097199312,1711548642768132864,1711548340241950065,1711548340241951676,1711548644768132864,10000
1711548340107318140,1711548652768132864,1711548340252146523,1711548340252148702,1711548654768132864,1711548340107392111
1711548340107396783,1711548662768132864,1711548340262344886,1711548340262346401,1711548664768132864,10000
1711548340117516042,1711548672768132864,1711548340272541756,1711548340272543206,1711548674768132864,1711548340117589955
1711548340117594766,1711548682768132864,1711548340282737356,1711548340282738942,1711548684768132864,10000
1711548340127713807,1711548692768132864,1711548340292933164,1711548340292934609,1711548694768132864,1711548340127787883
1711548340127792481,1711548702768132864,1711548340303128714,1711548340303130150,1711548704768132864,10000
1711548340137911117,1711548712768132864,1711548340313324462,1711548340313325925,1711548714768132864,1711548340137982657
1711548340137987377,1711548722768132864,1711548340323522758,1711548340323524222,1711548724768132864,10000
1711548340148106067,1711548732768132864,1711548340333720810,1711548340333722262,1711548734768132864,1711548340148179720
1711548340148184646,1711548742768132864,1711548340343918740,1711548340343920359,1711548744768132864,10000
1711548340158303290,1711548752768132864,1711548340354114800,1711548340354116274,1711548754768132864,1711548340158375782
1711548340158380547,1711548762768132864,1711548340364311425,1711548340364312890,1711548764768132864,10000
1711548340168499157,1711548772768132864,1711548340374509139,1711548340374510667,1711548774768132864,1711548340168572510
1711548340168577311,1711548782768132864,1711548340384708571,1711548340384710041,1711548784768132864,10000
1711548340178696532,1711548792768132864,1711548340394903795,1711548340394905267,1711548794768132864,1711548340178771370
1711548340178776174,1711548802768132864,1711548340405104419,1711548340405106055,1711548804768132864,10000
1711548340188895411,1711548812768132864,1711548340415298208,1711548340415299686,1711548814768132864,1711548340188967701
1711548340188972313,1711548823768132864,1711548340425496920,1711548340425498368,1711548825768132864,10000
1711548340199091674,1711548833768132864,1711548340435693462,1711548340435694908,1711548835768132864,1711548340199165001
1711548340199169748,1711548843768132864,1711548340445892933,1711548340445894435,1711548845768132864,10000
1711548340209289248,1711548853768132864,1711548340456089179,1711548340456090642,1711548855768132864,1711548340209362011
1711548340209366704,1711548863768132864,1711548340466284256,1711548340466285744,1711548865768132864,10000
1711548340219485877,1711548873768132864,1711548340476483114,1711548340476484594,1711548875768132864,1711548340219558905
1711548340219563771,1711548883768132864,1711548340486680479,1711548340486681959,1711548885768132864,10000
