Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548731749220956,1711548758503933184,1711548731751814080,1711548731751962315,1711548762503933184,1711548731749639601
1711548731750756836,1711548769503933184,1711548731753278139,1711548731753282386,1711548771503933184,1711548731750943966
1711548731752061370,1711548776503933184,1711548731754581889,1711548731754585999,1711548779503933184,1711548731752245201
1711548731753361209,1711548784503933184,1711548731755881211,1711548731755885338,1711548787503933184,1711548731753543052
1711548731754659068,1711548792503933184,1711548731757169850,1711548731757173975,1711548795503933184,1711548731754833467
1711548731755949649,1711548800503933184,1711548731758452767,1711548731758457287,1711548802503933184,1711548731756120514
1711548731757236624,1711548808503933184,1711548731759739737,1711548731759744258,1711548810503933184,1711548731757404443
1711548731758520697,1711548816503933184,1711548731761025335,1711548731761029484,1711548818503933184,1711548731758688940
1711548731759805503,1711548824503933184,1711548731762322309,1711548731762326410,1711548826503933184,1711548731759989978
1711548731761106280,1711548833503933184,1711548731763621508,1711548731763625623,1711548834503933184,1711548731761286516
1711548731762402409,1711548840503933184,1711548731764924099,1711548731764928230,1711548842503933184,1711548731762588208
1711548731763704457,1711548849503933184,1711548731766222914,1711548731766227025,1711548850503933184,1711548731763890257
1711548731765006323,1711548856503933184,1711548731767522153,1711548731767526247,1711548858503933184,1711548731765186791
1711548731766302795,1711548865503933184,1711548731768824685,1711548731768828795,1711548866503933184,1711548731766489913
1711548731767606272,1711548873503933184,1711548731770121886,1711548731770125989,1711548874503933184,1711548731767788018
1711548731768904170,1711548880503933184,1711548731771419682,1711548731771423818,1711548882503933184,1711548731769084100
1711548731770200078,1711548888503933184,1711548731772671395,1711548731772675506,1711548890503933184,1711548731770335470
1711548731771451878,1711548896503933184,1711548731773968275,1711548731773972431,1711548898503933184,1711548731771634147
1711548731772750264,1711548905503933184,1711548731775266299,1711548731775270429,1711548906503933184,1711548731772930443
1711548731774046565,1711548912503933184,1711548731776575405,1711548731776579550,1711548914503933184,1711548731774240007
1711548731775356338,1711548920503933184,1711548731777876574,1711548731777880699,1711548922503933184,1711548731775544891
1711548731776660956,1711548928503933184,1711548731779182541,1711548731779186661,1711548930503933184,1711548731776847513
1711548731777963629,1711548936503933184,1711548731780506526,1711548731780510644,1711548938503933184,1711548731778171602
1711548731779287970,1711548944503933184,1711548731781811939,1711548731781816115,1711548946503933184,1711548731779479708
1711548731780595851,1711548952503933184,1711548731783116925,1711548731783121088,1711548954503933184,1711548731780782014
1711548731781898322,1711548960503933184,1711548731784413129,1711548731784418683,1711548962503933184,1711548731782079200
1711548731783195682,1711548968503933184,1711548731785716547,1711548731785720691,1711548970503933184,1711548731783384503
1711548731784500465,1711548976503933184,1711548731787014430,1711548731787019744,1711548978503933184,1711548731784680313
