Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548715298229212,1711549441055696640,1711548715347257783,1711548715347261861,1711549443055696640,1711548715298402653
1711548715298407362,1711549451055696640,1711548715348568076,1711548715348572174,1711549453055696640,1000
1711548715299526225,1711549461055696640,1711548715349905828,1711548715349909916,1711549463055696640,1711548715299743889
1711548715299748671,1711549471055696640,1711548715351246674,1711548715351250765,1711549473055696640,1000
1711548715300867362,1711549481055696640,1711548715352590649,1711548715352594729,1711549484055696640,1711548715301080864
1711548715301085376,1711549491055696640,1711548715353923655,1711548715353927752,1711549493055696640,1000
1711548715302203575,1711549501055696640,1711548715355260862,1711548715355264984,1711549503055696640,1711548715302377124
1711548715302381816,1711549511055696640,1711548715356566800,1711548715356570917,1711549513055696640,1000
1711548715303500242,1711549521055696640,1711548715357904476,1711548715357908556,1711549523055696640,1711548715303716238
1711548715303720941,1711549531055696640,1711548715359245275,1711548715359249340,1711549533055696640,1000
1711548715304839476,1711549541055696640,1711548715360560389,1711548715360564933,1711549543055696640,1711548715305052130
1711548715305056690,1711549551055696640,1711548715361898032,1711548715361902092,1711549553055696640,1000
1711548715306174935,1711549561055696640,1711548715363237964,1711548715363242049,1711549563055696640,1711548715306348466
1711548715306353123,1711549571055696640,1711548715364581450,1711548715364585507,1711549574055696640,1000
1711548715307471542,1711549581055696640,1711548715365915282,1711548715365919407,1711549583055696640,1711548715307632683
1711548715307637384,1711549591055696640,1711548715367252592,1711548715367256701,1711549593055696640,1000
1711548715308756137,1711549601055696640,1711548715368565805,1711548715368569937,1711549603055696640,1711548715308969433
1711548715308974300,1711549611055696640,1711548715369903036,1711548715369907120,1711549613055696640,1000
1711548715310092202,1711549621055696640,1711548715371241655,1711548715371245745,1711549623055696640,1711548715310313716
1711548715310318406,1711549631055696640,1711548715372585109,1711548715372589154,1711549634055696640,1000
1711548715311436880,1711549641055696640,1711548715373921959,1711548715373925987,1711549643055696640,1711548715311665438
1711548715311670157,1711549651055696640,1711548715375260512,1711548715375264582,1711549653055696640,1000
1711548715312789006,1711549661055696640,1711548715376567456,1711548715376571544,1711549663055696640,1711548715312999525
1711548715313003975,1711549671055696640,1711548715377905759,1711548715377909852,1711549673055696640,1000
1711548715314122277,1711549681055696640,1711548715379244937,1711548715379248978,1711549683055696640,1711548715314295903
1711548715314300463,1711549691055696640,1711548715380588650,1711548715380592671,1711549694055696640,1000
1711548715315419305,1711549701055696640,1711548715381933795,1711548715381937909,1711549703055696640,1711548715315650229
1711548715315654744,1711549711055696640,1711548715383270008,1711548715383274105,1711549713055696640,1000
1711548715316773483,1711549721055696640,1711548715384572637,1711548715384576779,1711549723055696640,1711548715316986106
1711548715316990734,1711549731055696640,1711548715385922657,1711548715385926682,1711549733055696640,1000
1711548715318109386,1711549741055696640,1711548715387262956,1711548715387267008,1711549743055696640,1711548715318283900
1711548715318288572,1711549751055696640,1711548715388568207,1711548715388572400,1711549753055696640,1000
