Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711546334497990837,1711546367251649024,1711546334512058911,1711546334512191739,1711546371251649024,13885
1711546334512044158,1711546379251649024,1711546334540379192,1711546334540383438,1711546382251649024,1711546334512443268
1711546334512448922,1711546391251649024,1711546334584561182,1711546334584565280,1711546394251649024,27828
1711546334540397404,1711546403251649024,1711546334745216122,1711546334745220157,1711546406251649024,1711546334540619430
1711546334540624338,1711546415251649024,1711546334797024198,1711546334797028306,1711546418251649024,43827
1711546334584571478,1711546428251649024,1711546334905428300,1711546334905432424,1711546431251649024,1711546334584800254
1711546334584805094,1711546440251649024,1711546334946550236,1711546334946554382,1711546443251649024,160307
1711546334745232577,1711546452251649024,1711546335099035760,1711546335099039852,1711546455251649024,1711546334745455817
1711546334745460564,1711546464251649024,1711546335176188043,1711546335176192174,1711546467251649024,51463
1711546334797043122,1711546476251649024,1711546335270403823,1711546335270407938,1711546479251649024,1711546334797262916
1711546334797267600,1711546489251649024,1711546335275552012,1711546335275556123,1711546492251649024,108064
1711546334905450886,1711546501251649024,1711546335329195198,1711546335329199328,1711546504251649024,1711546334905677933
1711546334905682731,1711546513251649024,1711546335461668118,1711546335461672196,1711546516251649024,40767
1711546334946569067,1711546524251649024,1711546335466642631,1711546335466646763,1711546527251649024,1711546334946789816
1711546334946794493,1711546536251649024,1711546335586429473,1711546335586433627,1711546539251649024,152141
1711546335099055152,1711546547251649024,1711546335588025621,1711546335588029720,1711546550251649024,1711546335099274802
1711546335099279599,1711546557251649024,1711546335620957250,1711546335620961357,1711546560251649024,76810
1711546335176209271,1711546568251649024,1711546335664688424,1711546335664692553,1711546570251649024,1711546335176431228
1711546335176436167,1711546578251649024,1711546335709238572,1711546335709242720,1711546581251649024,93864
1711546335270420084,1711546590251649024,1711546335861773080,1711546335861777180,1711546593251649024,1711546335270646681
1711546335270655730,1711546602251649024,1711546335944535879,1711546335944540173,1711546605251649024,4796
