Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712182981635230572,1712183009811181056,1712182981636126340,1712182981636261313,1712183011811181056,1712182981635669339
1712182981636786496,1712183017811181056,1712182981637611245,1712182981637615455,1712183020811181056,1712182981637002680
1712182981638118874,1712183025811181056,1712182981638947176,1712182981638951343,1712183028811181056,1712182981638334981
1712182981639451137,1712183033811181056,1712182981640279000,1712182981640283079,1712183036811181056,1712182981639670363
1712182981640786347,1712183041811181056,1712182981641616971,1712182981641621111,1712183044811181056,1712182981641004374
1712182981642120319,1712183049811181056,1712182981642947941,1712182981642952040,1712183052811181056,1712182981642335238
1712182981643451853,1712183057811181056,1712182981644278335,1712182981644282595,1712183059811181056,1712182981643668704
1712182981644784621,1712183065811181056,1712182981645617263,1712182981645621423,1712183067811181056,1712182981645004731
1712182981646120512,1712183073811181056,1712182981646956109,1712182981646960280,1712183075811181056,1712182981646343306
1712182981647459412,1712183081811181056,1712182981648290606,1712182981648294763,1712183083811181056,1712182981647681283
1712182981648797460,1712183089811181056,1712182981649624584,1712182981649628747,1712183091811181056,1712182981649011810
1712182981650127879,1712183097811181056,1712182981650950584,1712182981650954765,1712183099811181056,1712182981650337771
1712182981651454344,1712183105811181056,1712182981652287525,1712182981652291578,1712183107811181056,1712182981651678778
1712182981652794662,1712183113811181056,1712182981653620195,1712182981653624275,1712183115811181056,1712182981653007840
1712182981654123769,1712183121811181056,1712182981654947383,1712182981654951493,1712183123811181056,1712182981654334305
1712182981655450464,1712183129811181056,1712182981656283755,1712182981656287901,1712183131811181056,1712182981655673844
1712182981656789570,1712183137811181056,1712182981657619904,1712182981657624124,1712183139811181056,1712182981657008153
1712182981658123986,1712183145811181056,1712182981658947064,1712182981658951224,1712183147811181056,1712182981658333907
1712182981659450575,1712183153811181056,1712182981660281579,1712182981660285733,1712183155811181056,1712182981659672057
1712182981660788146,1712183161811181056,1712182981661620485,1712182981661624800,1712183163811181056,1712182981661008055
1712182981662124206,1712183169811181056,1712182981662947002,1712182981662951177,1712183171811181056,1712182981662334792
1712182981663451074,1712183177811181056,1712182981664274086,1712182981664278221,1712183179811181056,1712182981663665153
1712182981664781020,1712183185811181056,1712182981665614408,1712182981665618598,1712183187811181056,1712182981665001920
1712182981666117836,1712183193811181056,1712182981666940554,1712182981666944684,1712183195811181056,1712182981666327921
1712182981667444243,1712183201811181056,1712182981668283598,1712182981668287816,1712183203811181056,1712182981667673661
1712182981668789693,1712183209811181056,1712182981669623580,1712182981669627763,1712183211811181056,1712182981669011033
1712182981670126935,1712183217811181056,1712182981670950641,1712182981670954807,1712183219811181056,1712182981670337696
1712182981671454386,1712183225811181056,1712182981672286343,1712182981672290468,1712183227811181056,1712182981671676119
1712182981672792171,1712183233811181056,1712182981673626592,1712182981673630795,1712183235811181056,1712182981673013803
