Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712098977232510192,1712099010043401984,1712098977242690539,1712098977242830781,1712099013043401984,10000
1712098977242676778,1712099020043401984,1712098977253184440,1712098977253188724,1712099023043401984,1712098977243078374
1712098977243083472,1712099029043401984,1712098977263532979,1712098977263537219,1712099031043401984,10000
1712098977253204818,1712099037043401984,1712098977273881411,1712098977273885571,1712099040043401984,1712098977253424902
1712098977253429422,1712099046043401984,1712098977284232588,1712098977284236805,1712099048043401984,10000
1712098977263549495,1712099054043401984,1712098977294544699,1712098977294548974,1712099056043401984,1712098977263773319
1712098977263778010,1712099063043401984,1712098977304893889,1712098977304898123,1712099065043401984,10000
1712098977273897235,1712099071043401984,1712098977315240987,1712098977315245257,1712099074043401984,1712098977274121719
1712098977274126243,1712099080043401984,1712098977325589566,1712098977325593796,1712099082043401984,10000
1712098977284245518,1712099088043401984,1712098977335936513,1712098977335940729,1712099091043401984,1712098977284471925
1712098977284476376,1712099097043401984,1712098977346283185,1712098977346287385,1712099099043401984,10000
1712098977294595440,1712099105043401984,1712098977356630512,1712098977356634805,1712099108043401984,1712098977294784172
1712098977294788576,1712099114043401984,1712098977366947756,1712098977366951972,1712099116043401984,10000
1712098977304907179,1712099122043401984,1712098977377295547,1712098977377299781,1712099125043401984,1712098977305134322
1712098977305138839,1712099131043401984,1712098977387639796,1712098977387643996,1712099133043401984,10000
1712098977315257141,1712099139043401984,1712098977397985264,1712098977397989529,1712099142043401984,1712098977315481163
1712098977315485620,1712099148043401984,1712098977408332866,1712098977408337096,1712099150043401984,10000
1712098977325604319,1712099156043401984,1712098977418680134,1712098977418684390,1712099159043401984,1712098977325829850
1712098977325834293,1712099165043401984,1712098977429040616,1712098977429044836,1712099167043401984,10000
1712098977335953366,1712099173043401984,1712098977439386316,1712098977439390660,1712099176043401984,1712098977336177462
1712098977336181902,1712099182043401984,1712098977449733220,1712098977449737436,1712099184043401984,10000
1712098977346300703,1712099190043401984,1712098977460079359,1712098977460083603,1712099193043401984,1712098977346522988
1712098977346527369,1712099199043401984,1712098977470426725,1712098977470430902,1712099201043401984,10000
1712098977356645927,1712099207043401984,1712098977480774814,1712098977480779063,1712099210043401984,1712098977356870782
1712098977356875163,1712099216043401984,1712098977491122982,1712098977491127235,1712099218043401984,10000
1712098977366965079,1712099224043401984,1712098977501472589,1712098977501476869,1712099227043401984,1712098977367188085
1712098977367192587,1712099233043401984,1712098977511819613,1712098977511823855,1712099235043401984,10000
1712098977377311449,1712099241043401984,1712098977522166201,1712098977522170379,1712099244043401984,1712098977377536178
1712098977377540486,1712099250043401984,1712098977532514312,1712098977532518567,1712099252043401984,10000
1712098977387658896,1712099258043401984,1712098977542864529,1712098977542868845,1712099261043401984,1712098977387880260
1712098977387884607,1712099267043401984,1712098977553213614,1712098977553217882,1712099269043401984,10000
1712098977398003047,1712099275043401984,1712098977563559760,1712098977563563987,1712099278043401984,1712098977398224908
1712098977398229318,1712099284043401984,1712098977573907077,1712098977573911324,1712099286043401984,10000
1712098977408347952,1712099292043401984,1712098977584255077,1712098977584259341,1712099295043401984,1712098977408572775
1712098977408577181,1712099301043401984,1712098977594598860,1712098977594603162,1712099303043401984,10000
1712098977418696083,1712099309043401984,1712098977604910447,1712098977604914647,1712099312043401984,1712098977418920316
1712098977418924659,1712099318043401984,1712098977615255952,1712098977615260206,1712099320043401984,10000
1712098977429044394,1712099326043401984,1712098977625603198,1712098977625607511,1712099329043401984,1712098977429280593
1712098977429285160,1712099335043401984,1712098977635950854,1712098977635955063,1712099337043401984,10000
1712098977439403708,1712099343043401984,1712098977646298540,1712098977646302819,1712099346043401984,1712098977439626249
1712098977439630724,1712099352043401984,1712098977656646097,1712098977656650350,1712099354043401984,10000
1712098977449749079,1712099360043401984,1712098977666950309,1712098977666954597,1712099363043401984,1712098977449973632
1712098977449978025,1712099369043401984,1712098977677300496,1712098977677304736,1712099371043401984,10000
1712098977460096487,1712099377043401984,1712098977687648943,1712098977687653202,1712099380043401984,1712098977460319248
1712098977460323731,1712099386043401984,1712098977697997219,1712098977698001433,1712099388043401984,10000
1712098977470442138,1712099394043401984,1712098977708345143,1712098977708349409,1712099397043401984,1712098977470667183
1712098977470671596,1712099403043401984,1712098977718690788,1712098977718695002,1712099405043401984,10000
1712098977480790513,1712099411043401984,1712098977729037922,1712098977729042142,1712099414043401984,1712098977481014777
1712098977481019418,1712099420043401984,1712098977739383182,1712098977739387427,1712099422043401984,10000
1712098977491137800,1712099428043401984,1712098977749734268,1712098977749738519,1712099431043401984,1712098977491363258
1712098977491367648,1712099437043401984,1712098977760080755,1712098977760085020,1712099439043401984,10000
1712098977501486682,1712099445043401984,1712098977770428421,1712098977770432634,1712099448043401984,1712098977501714552
1712098977501718899,1712099454043401984,1712098977780774476,1712098977780778786,1712099456043401984,10000
1712098977511837363,1712099462043401984,1712098977791121576,1712098977791125797,1712099465043401984,1712098977512060301
1712098977512064765,1712099471043401984,1712098977801467901,1712098977801472111,1712099473043401984,10000
1712098977522182991,1712099479043401984,1712098977811813997,1712098977811818239,1712099482043401984,1712098977522405834
1712098977522410348,1712099488043401984,1712098977822162540,1712098977822166754,1712099490043401984,10000
1712098977532528887,1712099496043401984,1712098977832566353,1712098977832570560,1712099499043401984,1712098977532754487
1712098977532758907,1712099505043401984,1712098977842912709,1712098977842917039,1712099507043401984,10000
1712098977542877666,1712099513043401984,1712098977853262335,1712098977853266643,1712099516043401984,1712098977543104371
1712098977543108947,1712099522043401984,1712098977863608145,1712098977863612338,1712099524043401984,10000
1712098977553227524,1712099530043401984,1712098977873955773,1712098977873959978,1712099533043401984,1712098977553453830
1712098977553458215,1712099539043401984,1712098977884303456,1712098977884307693,1712099541043401984,10000
1712098977563577038,1712099547043401984,1712098977894651699,1712098977894655939,1712099550043401984,1712098977563799883
1712098977563804287,1712099556043401984,1712098977904948107,1712098977904952232,1712099558043401984,10000
1712098977573922814,1712099564043401984,1712098977915292517,1712098977915296727,1712099567043401984,1712098977574147076
1712098977574151424,1712099573043401984,1712098977925636542,1712098977925640796,1712099575043401984,10000
