Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548874131232838,1711548908975743232,1711548874144062815,1711548874144187196,1711548912975743232,10000
1711548874141364491,1711548920975743232,1711548874154503783,1711548874154508439,1711548923975743232,1711548874141725542
1711548874141730849,1711548930975743232,1711548874164826409,1711548874164830872,1711548933975743232,10000
1711548874151852787,1711548940975743232,1711548874175145302,1711548874175150041,1711548943975743232,1711548874152043233
1711548874152047913,1711548950975743232,1711548874185494273,1711548874185498329,1711548953975743232,10000
1711548874162167657,1711548960975743232,1711548874195842802,1711548874195846857,1711548962975743232,1711548874162362930
1711548874162367627,1711548970975743232,1711548874206193763,1711548874206197800,1711548973975743232,10000
1711548874172487301,1711548980975743232,1711548874216555100,1711548874216559109,1711548982975743232,1711548874172680824
1711548874172685365,1711548990975743232,1711548874226874046,1711548874226878541,1711548992975743232,10000
1711548874182805404,1711549000975743232,1711548874237192727,1711548874237197937,1711549002975743232,1711548874183029205
1711548874183034089,1711549010975743232,1711548874247512427,1711548874247517614,1711549012975743232,10000
1711548874193154204,1711549020975743232,1711548874257831722,1711548874257836282,1711549022975743232,1711548874193378327
1711548874193383039,1711549030975743232,1711548874268156727,1711548874268162469,1711549032975743232,10000
1711548874203503401,1711549040975743232,1711548874278478791,1711548874278482811,1711549042975743232,1711548874203731825
1711548874203736513,1711549050975743232,1711548874288798506,1711548874288802557,1711549052975743232,10000
1711548874213856130,1711549060975743232,1711548874299117476,1711548874299122640,1711549062975743232,1711548874214088510
1711548874214093241,1711549070975743232,1711548874309438184,1711548874309442311,1711549072975743232,10000
1711548874224212887,1711549080975743232,1711548874319761986,1711548874319766550,1711549082975743232,1711548874224407125
1711548874224411687,1711549090975743232,1711548874330083413,1711548874330087486,1711549092975743232,10000
1711548874234531508,1711549100975743232,1711548874340398729,1711548874340404502,1711549102975743232,1711548874234726881
1711548874234731450,1711549110975743232,1711548874350719572,1711548874350723635,1711549112975743232,10000
1711548874244851463,1711549120975743232,1711548874361039573,1711548874361043619,1711549122975743232,1711548874245045849
1711548874245050647,1711549130975743232,1711548874371359668,1711548874371364199,1711549132975743232,10000
1711548874255170106,1711549140975743232,1711548874381677905,1711548874381682425,1711549142975743232,1711548874255364650
1711548874255369368,1711549150975743232,1711548874391997263,1711548874392001756,1711549152975743232,10000
1711548874265488716,1711549160975743232,1711548874402315942,1711548874402321102,1711549162975743232,1711548874265691403
1711548874265696112,1711549170975743232,1711548874412639036,1711548874412643075,1711549172975743232,10000
1711548874275815439,1711549180975743232,1711548874422956168,1711548874422961906,1711549182975743232,1711548874276011799
1711548874276016486,1711549190975743232,1711548874433278655,1711548874433283169,1711549192975743232,10000
1711548874286136124,1711549200975743232,1711548874443591008,1711548874443595584,1711549202975743232,1711548874286331483
1711548874286336192,1711549210975743232,1711548874453910154,1711548874453914701,1711549212975743232,10000
1711548874296455382,1711549220975743232,1711548874464229541,1711548874464233594,1711549222975743232,1711548874296651851
1711548874296656565,1711549230975743232,1711548874474544863,1711548874474550571,1711549232975743232,10000
1711548874306775852,1711549240975743232,1711548874484865610,1711548874484870165,1711549242975743232,1711548874306974908
1711548874306979823,1711549250975743232,1711548874495185424,1711548874495190021,1711549252975743232,10000
1711548874317099428,1711549260975743232,1711548874505506207,1711548874505510295,1711549262975743232,1711548874317295701
1711548874317300444,1711549270975743232,1711548874515822936,1711548874515828159,1711549272975743232,10000
1711548874327419431,1711549280975743232,1711548874526144330,1711548874526148867,1711549282975743232,1711548874327616236
1711548874327621013,1711549290975743232,1711548874536491030,1711548874536495100,1711549292975743232,10000
1711548874337740290,1711549300975743232,1711548874546808233,1711548874546813020,1711549302975743232,1711548874337933059
1711548874337937833,1711549310975743232,1711548874557129197,1711548874557133796,1711549312975743232,10000
1711548874348056605,1711549320975743232,1711548874567449070,1711548874567453647,1711549322975743232,1711548874348252732
1711548874348257441,1711549330975743232,1711548874577767961,1711548874577772066,1711549332975743232,10000
1711548874358376195,1711549340975743232,1711548874588084047,1711548874588089411,1711549342975743232,1711548874358573349
1711548874358577938,1711549350975743232,1711548874598400863,1711548874598406010,1711549352975743232,10000
1711548874368697654,1711549360975743232,1711548874608717876,1711548874608723699,1711549362975743232,1711548874368892441
1711548874368897088,1711549370975743232,1711548874619038829,1711548874619043289,1711549372975743232,10000
