--------------------------------------------------------------------------
Intel(R) SoC Watch for Linux* OS Version 2023.4.0 [Aug 14 2023]
Build Ref: d424b1e6d9128f442fdc901a2f7f09e75671d271
Post Processed using SoC Watch for Linux* OS Version 2023.4.0 [Aug 14 2023]
Post Processed Build Ref: d424b1e6d9128f442fdc901a2f7f09e75671d271
Copyright (c) 2023 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f cpu-cstate -m -r int -o TRACE_FIXED_C6_ENABLED_SMT_DISABLED/State=enable/fixed/Pre-req=false/Pre-req-interval=100/Sleep=10000/Warmup-requests=0//Socwatch 

Program Started: N/A
Data Collection Started: 2024-04-02 23:03:44 GMT 
Nano Clock Frequency (MHz): 1000 
CPU Base Operating Frequency (MHz): 2200
Collection duration (sec): 0.0897382
Collection begin timestamp: 1712099024718602841
Collection end timestamp: 1712099024808031373

System Name: node0.inter2-no-c220.ucy-cs499-dc-pg0.wisc.cloudlab.us
Operating System: Linux [5.15.0-86-generic]
CPU: Skylake Server
CPU ID (family.model.stepping): 0x6.0x55.0x4
Platform ID: 0b000
Integrated GPU Device: NA
EDRAM Present: No 
Total # of packages: 2 
Total # of cores: 20 
Total # of logical processors: 20

WARNING: unsupported PCH detected: 0xa1c1

Package C-State - CPU/Package_0
Sample #, Continuous Time (ms), C-State, Duration (ms)
      70,                 2.50,     CC0,          0.03
      71,                 2.50,     CC1,          0.00
      72,                 2.51,     CC0,          0.01
      73,                 2.52,     CC1,          0.00
      74,                 2.61,     CC0,          0.09
      75,                 2.61,     CC1,          0.00
      76,                 2.63,     CC0,          0.01
      77,                 2.63,     CC1,          0.00
      78,                 2.66,     CC0,          0.03
      79,                 2.67,     CC1,          0.01
      80,                 2.70,     CC0,          0.03
      81,                 2.71,     CC1,          0.00
      82,                 2.72,     CC0,          0.02
      83,                 2.72,     CC1,          0.00
      84,                 2.76,     CC0,          0.03
      85,                 2.76,     CC1,          0.00
      86,                 2.77,     CC0,          0.01
      87,                 2.77,     CC1,          0.00
      88,                 2.79,     CC0,          0.02
      89,                 2.79,     CC1,          0.00
      90,                 2.81,     CC0,          0.02
      91,                 2.81,     CC1,          0.00
      92,                 2.86,     CC0,          0.05
      93,                 2.86,     CC1,          0.00
      94,                 2.89,     CC0,          0.03
      95,                 2.89,     CC1,          0.00
      96,                 2.91,     CC0,          0.02
      97,                 2.91,     CC1,          0.00
      98,                 2.93,     CC0,          0.02
      99,                28.88,     CC6,         25.95
     100,                29.98,     CC0,          1.10
     101,                29.99,     CC1,          0.01
     102,                30.08,     CC0,          0.09
     103,                30.08,     CC1,          0.00
     104,                30.26,     CC0,          0.18
     105,                30.26,     CC1,          0.00
     106,                30.31,     CC0,          0.05
     107,                30.51,     CC1,          0.20
     108,                30.77,     CC0,          0.27
     109,                33.85,     CC1,          3.08
     110,                33.88,     CC0,          0.03
     111,                35.89,     CC6,          2.01
     112,                36.85,     CC0,          0.96
     113,                37.33,     CC6,          0.48
     114,                37.96,     CC0,          0.63
     115,                38.74,     CC6,          0.78
     116,                45.92,     CC0,          7.19
     117,                49.32,     CC6,          3.40
     118,                49.93,     CC0,          0.61
     119,                53.34,     CC6,          3.41
     120,                53.95,     CC0,          0.61
     121,                57.35,     CC6,          3.40
     122,                57.93,     CC0,          0.58
     123,                61.36,     CC6,          3.42
     124,                61.98,     CC0,          0.62
     125,                62.04,     CC1,          0.06
     126,                62.10,     CC0,          0.06
     127,                62.11,     CC1,          0.01
     128,                68.62,     CC0,          6.50
     129,                69.29,     CC6,          0.67
     130,                69.97,     CC0,          0.68
     131,                71.42,     CC6,          1.46
     132,                72.04,     CC0,          0.61
     133,                73.36,     CC6,          1.32
     134,                73.94,     CC0,          0.58
     135,                75.58,     CC6,          1.64
     136,                76.21,     CC0,          0.63
     137,                77.36,     CC6,          1.15
     138,                77.97,     CC0,          0.61
     139,                81.36,     CC6,          3.39
     140,                81.94,     CC0,          0.58
     141,                85.35,     CC6,          3.41
     142,                85.96,     CC0,          0.61
     143,                87.72,     CC6,          1.76
     144,                89.35,     CC0,          1.62

Core C-State - CPU/Package_0/Die_0/Core_3
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                 1.32,     CC1,          1.32
       2,                 1.54,     CC0,          0.21
       3,                 1.54,     CC1,          0.01
       4,                 1.56,     CC0,          0.02
       5,                 1.57,     CC1,          0.01
       6,                 1.63,     CC0,          0.06
       7,                 1.64,     CC1,          0.00
       8,                 1.67,     CC0,          0.03
       9,                 1.67,     CC1,          0.00
      10,                 1.74,     CC0,          0.06
      11,                 1.74,     CC1,          0.00
      12,                 1.75,     CC0,          0.02
      13,                 1.75,     CC1,          0.00
      14,                 1.77,     CC0,          0.02
      15,                 1.77,     CC1,          0.00
      16,                 1.80,     CC0,          0.03
      17,                 1.80,     CC1,          0.00
      18,                 1.82,     CC0,          0.02
      19,                 1.82,     CC1,          0.00
      20,                 1.83,     CC0,          0.02
      21,                 1.84,     CC1,          0.01
      22,                 1.86,     CC0,          0.02
      23,                 1.88,     CC1,          0.01
      24,                 1.89,     CC0,          0.02
      25,                 1.90,     CC1,          0.01
      26,                 1.92,     CC0,          0.02
      27,                 1.92,     CC1,          0.01
      28,                 1.96,     CC0,          0.04
      29,                 1.96,     CC1,          0.00
      30,                 2.00,     CC0,          0.03
      31,                 2.00,     CC1,          0.00
      32,                 2.03,     CC0,          0.03
      33,                 2.03,     CC1,          0.00
      34,                 2.06,     CC0,          0.03
      35,                 2.07,     CC1,          0.00
      36,                 2.10,     CC0,          0.03
      37,                 2.10,     CC1,          0.00
      38,                 2.13,     CC0,          0.03
      39,                 2.13,     CC1,          0.00
      40,                 2.15,     CC0,          0.02
      41,                 2.15,     CC1,          0.00
      42,                 2.16,     CC0,          0.02
      43,                 2.17,     CC1,          0.01
      44,                 2.20,     CC0,          0.03
      45,                 2.20,     CC1,          0.00
      46,                 2.25,     CC0,          0.05
      47,                 2.25,     CC1,          0.00
      48,                 2.27,     CC0,          0.02
      49,                 2.28,     CC1,          0.01
      50,                 2.30,     CC0,          0.02
      51,                 2.30,     CC1,          0.00
      52,                 2.34,     CC0,          0.03
      53,                 2.34,     CC1,          0.00
      54,                 2.40,     CC0,          0.06
      55,                 2.40,     CC1,          0.00
      56,                 2.42,     CC0,          0.02
      57,                 2.43,     CC1,          0.01
      58,                 2.45,     CC0,          0.02
      59,                 2.45,     CC1,          0.00
      60,                 2.49,     CC0,          0.05
      61,                 2.49,     CC1,          0.00
      62,                 2.51,     CC0,          0.01
      63,                 2.52,     CC1,          0.01
      64,                 2.59,     CC0,          0.08
      65,                 2.59,     CC1,          0.00
      66,                 2.61,     CC0,          0.01
      67,                 2.61,     CC1,          0.00
      68,                 2.66,     CC0,          0.05
      69,                 2.67,     CC1,          0.02
      70,                 2.72,     CC0,          0.05
      71,                 2.72,     CC1,          0.00
      72,                 2.73,     CC0,          0.02
      73,                 2.73,     CC1,          0.00
      74,                 2.75,     CC0,          0.02
      75,                 2.75,     CC1,          0.00
      76,                 2.77,     CC0,          0.02
      77,                 2.77,     CC1,          0.00
      78,                 2.79,     CC0,          0.02
      79,                 2.79,     CC1,          0.00
      80,                 2.81,     CC0,          0.02
      81,                 2.81,     CC1,          0.00
      82,                 2.85,     CC0,          0.05
      83,                 2.86,     CC1,          0.00
      84,                 2.87,     CC0,          0.02
      85,                 2.87,     CC1,          0.00
      86,                 2.89,     CC0,          0.02
      87,                 2.89,     CC1,          0.00
      88,                 2.92,     CC0,          0.03
      89,                14.81,     CC6,         11.88
      90,                15.92,     CC0,          1.11
      91,                30.24,     CC6,         14.32
      92,                31.12,     CC0,          0.89
      93,                33.35,     CC6,          2.23
      94,                33.93,     CC0,          0.58
      95,                36.50,     CC6,          2.57
      96,                37.10,     CC0,          0.60
      97,                37.35,     CC6,          0.25
      98,                37.93,     CC0,          0.58
      99,                41.32,     CC6,          3.39
     100,                41.93,     CC0,          0.61
     101,                43.75,     CC6,          1.81
     102,                44.39,     CC0,          0.64
     103,                44.48,     CC1,          0.09
     104,                44.53,     CC0,          0.05
     105,                44.66,     CC1,          0.13
     106,                44.70,     CC0,          0.04
     107,                45.17,     CC1,          0.47
     108,                45.20,     CC0,          0.03
     109,                45.47,     CC1,          0.27
     110,                45.51,     CC0,          0.05
     111,                45.51,     CC1,          0.00
     112,                46.07,     CC0,          0.56
     113,                49.34,     CC6,          3.27
     114,                49.95,     CC0,          0.61
     115,                53.34,     CC6,          3.39
     116,                53.93,     CC0,          0.59
     117,                56.31,     CC6,          2.38
     118,                56.91,     CC0,          0.60
     119,                57.35,     CC6,          0.44
     120,                57.93,     CC0,          0.58
     121,                61.36,     CC6,          3.42
     122,                61.96,     CC0,          0.60
     123,                63.75,     CC6,          1.80
     124,                64.11,     CC0,          0.36
     125,                65.35,     CC6,          1.24
     126,                65.94,     CC0,          0.58
     127,                67.38,     CC6,          1.45
     128,                68.42,     CC0,          1.03
     129,                68.59,     CC1,          0.17
     130,                89.35,     CC0,         20.76

Core C-State - CPU/Package_0/Die_0/Core_4
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                 1.43,     CC1,          1.43
       2,                 1.53,     CC0,          0.10
       3,                 1.54,     CC1,          0.02
       4,                 1.56,     CC0,          0.02
       5,                 1.57,     CC1,          0.02
       6,                 1.58,     CC0,          0.01
       7,                 1.58,     CC1,          0.00
       8,                 1.59,     CC0,          0.01
       9,                 1.60,     CC1,          0.01
      10,                 1.61,     CC0,          0.01
      11,                 1.62,     CC1,          0.01
      12,                 1.63,     CC0,          0.01
      13,                 1.64,     CC1,          0.01
      14,                 1.65,     CC0,          0.01
      15,                 1.65,     CC1,          0.01
      16,                 1.66,     CC0,          0.01
      17,                 1.67,     CC1,          0.01
      18,                 1.68,     CC0,          0.01
      19,                 1.69,     CC1,          0.01
      20,                 1.70,     CC0,          0.01
      21,                 1.70,     CC1,          0.00
      22,                 1.71,     CC0,          0.01
      23,                 1.72,     CC1,          0.01
      24,                 1.73,     CC0,          0.01
      25,                 1.74,     CC1,          0.01
      26,                 1.75,     CC0,          0.01
      27,                 1.75,     CC1,          0.01
      28,                 1.76,     CC0,          0.01
      29,                 1.77,     CC1,          0.01
      30,                 1.78,     CC0,          0.01
      31,                 1.79,     CC1,          0.01
      32,                 1.80,     CC0,          0.01
      33,                 1.80,     CC1,          0.01
      34,                 1.81,     CC0,          0.01
      35,                 1.82,     CC1,          0.01
      36,                 1.83,     CC0,          0.01
      37,                 1.85,     CC1,          0.02
      38,                 1.87,     CC0,          0.03
      39,                 1.88,     CC1,          0.00
      40,                 1.89,     CC0,          0.01
      41,                 1.91,     CC1,          0.02
      42,                 1.92,     CC0,          0.01
      43,                 1.92,     CC1,          0.01
      44,                 1.94,     CC0,          0.02
      45,                 1.95,     CC1,          0.01
      46,                 1.95,     CC0,          0.01
      47,                 1.96,     CC1,          0.01
      48,                 1.97,     CC0,          0.01
      49,                 1.98,     CC1,          0.01
      50,                 1.99,     CC0,          0.01
      51,                 2.00,     CC1,          0.01
      52,                 2.01,     CC0,          0.01
      53,                 2.01,     CC1,          0.01
      54,                 2.02,     CC0,          0.01
      55,                 2.03,     CC1,          0.01
      56,                 2.04,     CC0,          0.01
      57,                 2.05,     CC1,          0.00
      58,                 2.05,     CC0,          0.01
      59,                 2.06,     CC1,          0.01
      60,                 2.07,     CC0,          0.01
      61,                 2.08,     CC1,          0.01
      62,                 2.09,     CC0,          0.01
      63,                 2.10,     CC1,          0.01
      64,                 2.11,     CC0,          0.01
      65,                 2.11,     CC1,          0.01
      66,                 2.12,     CC0,          0.01
      67,                 2.13,     CC1,          0.01
      68,                 2.14,     CC0,          0.01
      69,                 2.15,     CC1,          0.01
      70,                 2.16,     CC0,          0.01
      71,                 2.17,     CC1,          0.01
      72,                 2.18,     CC0,          0.01
      73,                 2.18,     CC1,          0.01
      74,                 2.19,     CC0,          0.01
      75,                 2.20,     CC1,          0.01
      76,                 2.21,     CC0,          0.01
      77,                 2.22,     CC1,          0.01
      78,                 2.23,     CC0,          0.01
      79,                 2.24,     CC1,          0.01
      80,                 2.24,     CC0,          0.01
      81,                 2.25,     CC1,          0.01
      82,                 2.26,     CC0,          0.01
      83,                 2.28,     CC1,          0.02
      84,                 2.29,     CC0,          0.01
      85,                 2.30,     CC1,          0.01
      86,                 2.31,     CC0,          0.01
      87,                 2.32,     CC1,          0.01
      88,                 2.32,     CC0,          0.01
      89,                 2.33,     CC1,          0.01
      90,                 2.34,     CC0,          0.01
      91,                 2.35,     CC1,          0.01
      92,                 2.36,     CC0,          0.01
      93,                 2.37,     CC1,          0.01
      94,                 2.38,     CC0,          0.01
      95,                 2.38,     CC1,          0.01
      96,                 2.39,     CC0,          0.01
      97,                 2.40,     CC1,          0.01
      98,                 2.41,     CC0,          0.01
      99,                 2.43,     CC1,          0.02
     100,                 2.44,     CC0,          0.01
     101,                 2.44,     CC1,          0.01
     102,                 2.45,     CC0,          0.01
     103,                 2.46,     CC1,          0.01
     104,                 2.47,     CC0,          0.01
     105,                 2.48,     CC1,          0.01
     106,                 2.48,     CC0,          0.01
     107,                 2.49,     CC1,          0.01
     108,                 2.50,     CC0,          0.01
     109,                 2.51,     CC1,          0.01
     110,                 2.52,     CC0,          0.01
     111,                 2.53,     CC1,          0.00
     112,                 2.53,     CC0,          0.01
     113,                 2.54,     CC1,          0.01
     114,                 2.55,     CC0,          0.01
     115,                 2.56,     CC1,          0.01
     116,                 2.57,     CC0,          0.01
     117,                 2.58,     CC1,          0.01
     118,                 2.58,     CC0,          0.01
     119,                 2.59,     CC1,          0.01
     120,                 2.60,     CC0,          0.01
     121,                 2.61,     CC1,          0.01
     122,                 2.62,     CC0,          0.01
     123,                 2.62,     CC1,          0.01
     124,                 2.63,     CC0,          0.01
     125,                 2.64,     CC1,          0.01
     126,                 2.65,     CC0,          0.01
     127,                 2.67,     CC1,          0.02
     128,                 2.68,     CC0,          0.01
     129,                 2.68,     CC1,          0.01
     130,                 2.69,     CC0,          0.01
     131,                 2.70,     CC1,          0.01
     132,                 2.71,     CC0,          0.01
     133,                 2.72,     CC1,          0.01
     134,                 2.73,     CC0,          0.01
     135,                 2.73,     CC1,          0.01
     136,                 2.74,     CC0,          0.01
     137,                 2.75,     CC1,          0.01
     138,                 2.76,     CC0,          0.01
     139,                 2.77,     CC1,          0.01
     140,                 2.78,     CC0,          0.01
     141,                 2.79,     CC1,          0.01
     142,                 2.80,     CC0,          0.01
     143,                 2.81,     CC1,          0.01
     144,                 2.81,     CC0,          0.01
