--------------------------------------------------------------------------
Intel(R) SoC Watch for Linux* OS Version 2023.4.0 [Aug 14 2023]
Build Ref: d424b1e6d9128f442fdc901a2f7f09e75671d271
Post Processed using SoC Watch for Linux* OS Version 2023.4.0 [Aug 14 2023]
Post Processed Build Ref: d424b1e6d9128f442fdc901a2f7f09e75671d271
Copyright (c) 2023 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f cpu-cstate -m -r int -o TRACE_FIXED_C6_ENABLED_SMT_DISABLED/State=enable/fixed/Pre-req=false/Pre-req-interval=100/Sleep=10000/Warmup-requests=0//Socwatch 

Program Started: N/A
Data Collection Started: 2024-04-02 23:03:44 GMT 
Nano Clock Frequency (MHz): 1000 
CPU Base Operating Frequency (MHz): 2200
Collection duration (sec): 0.0897382
Collection begin timestamp: 1712099024718602841
Collection end timestamp: 1712099024808031373

System Name: node0.inter2-no-c220.ucy-cs499-dc-pg0.wisc.cloudlab.us
Operating System: Linux [5.15.0-86-generic]
CPU: Skylake Server
CPU ID (family.model.stepping): 0x6.0x55.0x4
Platform ID: 0b000
Integrated GPU Device: NA
EDRAM Present: No 
Total # of packages: 2 
Total # of cores: 20 
Total # of logical processors: 20

WARNING: unsupported PCH detected: 0xa1c1

Package C-State - CPU/Package_0
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                89.35,     PC0,         89.35

Package C-State - CPU/Package_1
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                89.35,     PC0,         89.35


Core C-State - CPU/Package_0/Die_0/Core_0
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                 1.33,     CC1,          1.33
       2,                 1.54,     CC0,          0.21
       3,                 1.54,     CC1,          0.00
       4,                 1.57,     CC0,          0.03
       5,                 1.57,     CC1,          0.01
       6,                 1.61,     CC0,          0.03
       7,                 1.61,     CC1,          0.00
       8,                 1.66,     CC0,          0.05
       9,                 1.66,     CC1,          0.00
      10,                 1.67,     CC0,          0.01
      11,                 1.67,     CC1,          0.00
      12,                 1.71,     CC0,          0.03
      13,                 1.71,     CC1,          0.00
      14,                 1.83,     CC0,          0.12
      15,                 1.84,     CC1,          0.01
      16,                 1.92,     CC0,          0.08
      17,                 1.93,     CC1,          0.01
      18,                 1.97,     CC0,          0.04
      19,                 1.97,     CC1,          0.00
      20,                 2.03,     CC0,          0.07
      21,                 2.04,     CC1,          0.00
      22,                 2.07,     CC0,          0.03
      23,                 2.07,     CC1,          0.00
      24,                 2.20,     CC0,          0.13
      25,                 2.20,     CC1,          0.00
      26,                 2.27,     CC0,          0.07
      27,                 2.28,     CC1,          0.01
      28,                 2.30,     CC0,          0.02
      29,                 2.30,     CC1,          0.00
      30,                 2.37,     CC0,          0.07
      31,                 2.37,     CC1,          0.00
      32,                 2.39,     CC0,          0.02
      33,                 2.39,     CC1,          0.00
      34,                 2.50,     CC0,          0.11
      35,                 2.50,     CC1,          0.00
      36,                 2.58,     CC0,          0.07
      37,                 2.58,     CC1,          0.00
      38,                 2.61,     CC0,          0.03
      39,                 2.61,     CC1,          0.00
      40,                 2.62,     CC0,          0.01
      41,                 2.63,     CC1,          0.00
      42,                 2.66,     CC0,          0.04
      43,                 2.66,     CC1,          0.00
      44,                 2.77,     CC0,          0.11
      45,                 2.78,     CC1,          0.00
      46,                 2.85,     CC0,          0.07
      47,                 2.86,     CC1,          0.01
      48,                 2.87,     CC0,          0.02
      49,                 2.87,     CC1,          0.00
      50,                 2.91,     CC0,          0.04
      51,                 2.91,     CC1,          0.00
      52,                 2.93,     CC0,          0.02
      53,                 4.83,     CC6,          1.90
      54,                 5.93,     CC0,          1.10
      55,                 8.83,     CC6,          2.91
      56,                 9.93,     CC0,          1.10
      57,                11.16,     CC6,          1.22
      58,                12.29,     CC0,          1.14
      59,                12.29,     CC1,          0.00
      60,                12.34,     CC0,          0.05
      61,                12.51,     CC1,          0.17
      62,                12.53,     CC0,          0.02
      63,                12.83,     CC6,          0.30
      64,                13.95,     CC0,          1.13
      65,                16.85,     CC6,          2.90
      66,                17.94,     CC0,          1.09
      67,                19.38,     CC6,          1.44
      68,                19.99,     CC0,          0.61
      69,                20.28,     CC1,          0.29
      70,                20.30,     CC0,          0.02
      71,                21.34,     CC6,          1.04
      72,                21.96,     CC0,          0.62
      73,                25.35,     CC6,          3.39
      74,                25.96,     CC0,          0.62
      75,                27.16,     CC6,          1.19
      76,                27.76,     CC0,          0.60
      77,                29.20,     CC6,          1.44
      78,                29.78,     CC0,          0.58
      79,                29.85,     CC1,          0.07
      80,                30.30,     CC0,          0.45
      81,                33.35,     CC6,          3.05
      82,                33.94,     CC0,          0.59
      83,                36.18,     CC6,          2.24
      84,                36.85,     CC0,          0.68
      85,                37.34,     CC6,          0.49
      86,                37.93,     CC0,          0.59
      87,                39.46,     CC6,          1.53
      88,                44.43,     CC0,          4.97
      89,                45.00,     CC6,          0.56
      90,                46.10,     CC0,          1.10
      91,                49.34,     CC6,          3.25
      92,                49.95,     CC0,          0.60
      93,                53.34,     CC6,          3.39
      94,                53.94,     CC0,          0.60
      95,                57.34,     CC6,          3.40
      96,                57.93,     CC0,          0.59
      97,                61.36,     CC6,          3.42
      98,                61.96,     CC0,          0.60
      99,                65.59,     CC6,          3.63
     100,                65.99,     CC0,          0.41
     101,                66.47,     CC6,          0.47
     102,                68.04,     CC0,          1.57
     103,                68.31,     CC6,          0.27
     104,                69.11,     CC0,          0.80
     105,                69.42,     CC1,          0.31
     106,                70.04,     CC0,          0.62
     107,                73.33,     CC6,          3.30
     108,                73.95,     CC0,          0.61
     109,                77.36,     CC6,          3.41
     110,                77.94,     CC0,          0.58
     111,                81.34,     CC6,          3.41
     112,                81.94,     CC0,          0.59
     113,                85.35,     CC6,          3.41
     114,                85.93,     CC0,          0.58
     115,                87.72,     CC6,          1.78
     116,                89.35,     CC0,          1.63

Core C-State - CPU/Package_0/Die_0/Core_1
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                 1.33,     CC1,          1.33
       2,                 1.54,     CC0,          0.20
       3,                 1.54,     CC1,          0.00
       4,                 1.56,     CC0,          0.02
       5,                 1.57,     CC1,          0.01
       6,                 1.59,     CC0,          0.02
       7,                 1.59,     CC1,          0.00
       8,                 1.66,     CC0,          0.06
       9,                 1.66,     CC1,          0.00
      10,                 1.67,     CC0,          0.01
      11,                 1.67,     CC1,          0.00
      12,                 1.71,     CC0,          0.03
      13,                 1.71,     CC1,          0.00
      14,                 1.78,     CC0,          0.08
      15,                 1.78,     CC1,          0.00
      16,                 1.84,     CC0,          0.06
      17,                 1.86,     CC1,          0.02
      18,                 1.95,     CC0,          0.09
      19,                 1.95,     CC1,          0.00
      20,                 2.03,     CC0,          0.08
      21,                 2.03,     CC1,          0.00
      22,                 2.10,     CC0,          0.07
      23,                 2.10,     CC1,          0.00
      24,                 2.21,     CC0,          0.11
      25,                 2.22,     CC1,          0.00
      26,                 2.23,     CC0,          0.02
      27,                 2.24,     CC1,          0.00
      28,                 2.25,     CC0,          0.02
      29,                 2.25,     CC1,          0.00
      30,                 2.27,     CC0,          0.02
      31,                 2.28,     CC1,          0.01
      32,                 2.30,     CC0,          0.02
      33,                 2.30,     CC1,          0.00
      34,                 2.35,     CC0,          0.05
      35,                 2.35,     CC1,          0.00
      36,                 2.40,     CC0,          0.05
      37,                 2.40,     CC1,          0.00
      38,                 2.45,     CC0,          0.05
      39,                 2.45,     CC1,          0.00
      40,                 2.51,     CC0,          0.06
      41,                 2.51,     CC1,          0.00
      42,                 2.58,     CC0,          0.07
      43,                 2.58,     CC1,          0.00
      44,                 2.61,     CC0,          0.03
      45,                 2.61,     CC1,          0.00
      46,                 2.71,     CC0,          0.10
      47,                 2.72,     CC1,          0.00
      48,                 2.77,     CC0,          0.05
      49,                 2.77,     CC1,          0.00
      50,                 2.83,     CC0,          0.06
      51,                 2.83,     CC1,          0.00
      52,                 2.88,     CC0,          0.05
      53,                 2.88,     CC1,          0.00
      54,                 2.90,     CC0,          0.02
      55,                 2.90,     CC1,          0.00
      56,                 2.98,     CC0,          0.08
      57,                 2.98,     CC1,          0.00
      58,                 3.02,     CC0,          0.04
      59,                 3.03,     CC1,          0.01
      60,                 3.34,     CC0,          0.31
      61,                 3.34,     CC1,          0.00
      62,                 3.38,     CC0,          0.05
      63,                 3.57,     CC6,          0.19
      64,                 4.67,     CC0,          1.10
      65,                 5.71,     CC1,          1.05
      66,                 5.74,     CC0,          0.02
      67,                 5.85,     CC1,          0.11
      68,                 5.89,     CC0,          0.04
      69,                 8.84,     CC6,          2.94
      70,                 9.93,     CC0,          1.09
      71,                12.83,     CC6,          2.91
      72,                13.92,     CC0,          1.09
      73,                16.85,     CC6,          2.92
      74,                17.95,     CC0,          1.10
      75,                21.34,     CC6,          3.40
      76,                21.94,     CC0,          0.59
      77,                25.34,     CC6,          3.40
      78,                25.93,     CC0,          0.59
      79,                29.34,     CC6,          3.41
      80,                29.93,     CC0,          0.59
      81,                30.26,     CC1,          0.33
      82,                30.54,     CC0,          0.28
      83,                33.35,     CC6,          2.81
      84,                33.94,     CC0,          0.59
      85,                36.04,     CC6,          2.10
      86,                36.72,     CC0,          0.69
      87,                37.34,     CC6,          0.62
      88,                37.93,     CC0,          0.59
      89,                41.32,     CC6,          3.39
      90,                41.94,     CC0,          0.62
      91,                45.12,     CC6,          3.17
      92,                46.40,     CC0,          1.28
      93,                46.76,     CC1,          0.36
      94,                55.25,     CC0,          8.49
      95,                57.31,     CC6,          2.06
      96,                57.92,     CC0,          0.61
      97,                61.36,     CC6,          3.44
      98,                61.97,     CC0,          0.60
      99,                65.59,     CC6,          3.63
     100,                65.94,     CC0,          0.34
     101,                67.27,     CC6,          1.33
     102,                67.94,     CC0,          0.67
     103,                69.29,     CC6,          1.35
     104,                69.96,     CC0,          0.67
     105,                70.68,     CC6,          0.72
     106,                71.28,     CC0,          0.60
     107,                73.36,     CC6,          2.08
     108,                73.94,     CC0,          0.58
     109,                74.03,     CC1,          0.09
     110,                74.06,     CC0,          0.02
     111,                77.36,     CC6,          3.31
     112,                77.94,     CC0,          0.57
     113,                81.34,     CC6,          3.41
     114,                82.03,     CC0,          0.68
     115,                85.36,     CC6,          3.33
     116,                85.93,     CC0,          0.57
     117,                87.71,     CC6,          1.78
     118,                89.35,     CC0,          1.63

Core C-State - CPU/Package_0/Die_0/Core_2
Sample #, Continuous Time (ms), C-State, Duration (ms)
       1,                 1.32,     CC1,          1.32
       2,                 1.53,     CC0,          0.21
       3,                 1.54,     CC1,          0.01
       4,                 1.57,     CC0,          0.03
       5,                 1.57,     CC1,          0.01
       6,                 1.59,     CC0,          0.02
       7,                 1.59,     CC1,          0.00
       8,                 1.62,     CC0,          0.03
       9,                 1.62,     CC1,          0.00
      10,                 1.65,     CC0,          0.03
      11,                 1.65,     CC1,          0.00
      12,                 1.67,     CC0,          0.02
      13,                 1.67,     CC1,          0.00
      14,                 1.69,     CC0,          0.02
      15,                 1.69,     CC1,          0.00
      16,                 1.74,     CC0,          0.05
      17,                 1.74,     CC1,          0.00
      18,                 1.76,     CC0,          0.02
      19,                 1.76,     CC1,          0.00
      20,                 1.82,     CC0,          0.06
      21,                 1.82,     CC1,          0.00
      22,                 1.84,     CC0,          0.02
      23,                 1.84,     CC1,          0.01
      24,                 1.86,     CC0,          0.02
      25,                 1.88,     CC1,          0.01
      26,                 1.90,     CC0,          0.02
      27,                 1.90,     CC1,          0.00
      28,                 1.92,     CC0,          0.02
      29,                 1.92,     CC1,          0.00
      30,                 1.95,     CC0,          0.02
      31,                 1.95,     CC1,          0.00
      32,                 1.96,     CC0,          0.01
      33,                 1.96,     CC1,          0.00
      34,                 1.98,     CC0,          0.02
      35,                 1.98,     CC1,          0.00
      36,                 1.99,     CC0,          0.02
      37,                 2.00,     CC1,          0.00
      38,                 2.03,     CC0,          0.03
      39,                 2.03,     CC1,          0.00
      40,                 2.06,     CC0,          0.03
      41,                 2.07,     CC1,          0.00
      42,                 2.10,     CC0,          0.03
      43,                 2.10,     CC1,          0.00
      44,                 2.13,     CC0,          0.03
      45,                 2.13,     CC1,          0.00
      46,                 2.15,     CC0,          0.02
      47,                 2.15,     CC1,          0.00
      48,                 2.16,     CC0,          0.02
      49,                 2.17,     CC1,          0.01
      50,                 2.20,     CC0,          0.03
      51,                 2.20,     CC1,          0.00
      52,                 2.22,     CC0,          0.02
      53,                 2.22,     CC1,          0.00
      54,                 2.27,     CC0,          0.05
      55,                 2.28,     CC1,          0.01
      56,                 2.30,     CC0,          0.02
      57,                 2.30,     CC1,          0.00
      58,                 2.32,     CC0,          0.02
      59,                 2.32,     CC1,          0.00
      60,                 2.35,     CC0,          0.03
      61,                 2.35,     CC1,          0.00
      62,                 2.38,     CC0,          0.03
      63,                 2.38,     CC1,          0.00
      64,                 2.40,     CC0,          0.01
      65,                 2.40,     CC1,          0.01
      66,                 2.42,     CC0,          0.02
      67,                 2.43,     CC1,          0.01
      68,                 2.46,     CC0,          0.03
      69,                 2.46,     CC1,          0.00
