Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711546153910142515,1711546188871603200,1711546153918770822,1711546153918915356,1711546192871603200,8567
1711546153918839706,1711546200871603200,1711546153921640527,1711546153921645156,1711546203871603200,1711546153919221176
1711546153919226740,1711546210871603200,1711546153923655889,1711546153923659946,1711546213871603200,2412
1711546153921759222,1711546220871603200,1711546153934099519,1711546153934103599,1711546223871603200,1711546153921946338
1711546153921951129,1711546230871603200,1711546153937014042,1711546153937018309,1711546233871603200,1668
1711546153923738433,1711546241871603200,1711546153978641624,1711546153978646599,1711546243871603200,1711546153923956833
1711546153923961462,1711546253871603200,1711546153984440369,1711546153984445073,1711546255871603200,10097
1711546153934177999,1711546263871603200,1711546153988931941,1711546153988936412,1711546265871603200,1711546153934400812
1711546153934405388,1711546272871603200,1711546153999987667,1711546153999991751,1711546274871603200,2567
1711546153937091822,1711546282871603200,1711546154008600123,1711546154008604244,1711546284871603200,1711546153937314889
1711546153937319587,1711546292871603200,1711546154013620086,1711546154013625347,1711546294871603200,41279
1711546153978718158,1711546302871603200,1711546154021262340,1711546154021267619,1711546304871603200,1711546153978953335
1711546153978958093,1711546314871603200,1711546154022106186,1711546154022107956,1711546315871603200,5430
1711546153984515140,1711546323871603200,1711546154025433720,1711546154025437767,1711546325871603200,1711546153984766941
1711546153984771800,1711546333871603200,1711546154029959553,1711546154029964913,1711546335871603200,4094
1711546153988984518,1711546343871603200,1711546154045914596,1711546154045918685,1711546345871603200,1711546153989231869
1711546153989236486,1711546353871603200,1711546154083354577,1711546154083358685,1711546355871603200,10739
1711546154000094269,1711546363871603200,1711546154091683447,1711546154091687549,1711546365871603200,1711546154000286394
1711546154000291209,1711546373871603200,1711546154095327836,1711546154095332181,1711546375871603200,8293
1711546154008703132,1711546383871603200,1711546154100619333,1711546154100623669,1711546386871603200,1711546154008898771
1711546154008903409,1711546393871603200,1711546154115940278,1711546154115944880,1711546395871603200,4705
1711546154013727161,1711546403871603200,1711546154124706481,1711546154124711024,1711546405871603200,1711546154013921410
1711546154013926055,1711546413871603200,1711546154127167677,1711546154127171808,1711546415871603200,7323
1711546154021367924,1711546423871603200,1711546154135066891,1711546154135071454,1711546425871603200,1711546154021563398
1711546154021572230,1711546433871603200,1711546154136929226,1711546154136933913,1711546435871603200,551
1711546154022242301,1711546443871603200,1711546154143743766,1711546154143747877,1711546445871603200,1711546154022385938
1711546154022390721,1711546453871603200,1711546154150708644,1711546154150713223,1711546455871603200,3025
1711546154025534688,1711546463871603200,1711546154184962054,1711546154184966170,1711546465871603200,1711546154025732876
1711546154025737628,1711546473871603200,1711546154185426690,1711546154185429231,1711546475871603200,4214
1711546154030071176,1711546483871603200,1711546154201739492,1711546154201743740,1711546485871603200,1711546154030262379
1711546154030267079,1711546493871603200,1711546154202821776,1711546154202827085,1711546495871603200,15631
1711546154046017036,1711546503871603200,1711546154212307287,1711546154212311425,1711546505871603200,1711546154046214927
1711546154046219495,1711546513871603200,1711546154212661309,1711546154212664058,1711546515871603200,37120
1711546154083458403,1711546523871603200,1711546154215545975,1711546154215550086,1711546525871603200,1711546154083653554
1711546154083658251,1711546533871603200,1711546154218551856,1711546154218555979,1711546535871603200,8014
1711546154091791279,1711546543871603200,1711546154221601657,1711546154221605811,1711546545871603200,1711546154091983706
1711546154091988343,1711546553871603200,1711546154224285269,1711546154224290450,1711546555871603200,3321
1711546154095428168,1711546563871603200,1711546154235242176,1711546154235246265,1711546565871603200,1711546154095627566
1711546154095632393,1711546573871603200,1711546154244113438,1711546154244118772,1711546575871603200,4973
1711546154100724391,1711546583871603200,1711546154264839652,1711546154264843775,1711546585871603200,1711546154100918823
1711546154100923599,1711546593871603200,1711546154267611807,1711546154267617380,1711546595871603200,15002
1711546154116045013,1711546603871603200,1711546154297947052,1711546154297951168,1711546605871603200,1711546154116239396
1711546154116243963,1711546613871603200,1711546154303195028,1711546154303200299,1711546615871603200,8449
1711546154124812521,1711546623871603200,1711546154306689986,1711546154306694570,1711546625871603200,1711546154125008311
1711546154125013050,1711546633871603200,1711546154309384038,1711546154309388179,1711546635871603200,2147
1711546154127278856,1711546643871603200,1711546154322909879,1711546154322914448,1711546645871603200,1711546154127467555
1711546154127472243,1711546653871603200,1711546154323860753,1711546154323866437,1711546655871603200,7581
1711546154135171491,1711546663871603200,1711546154326242578,1711546154326248373,1711546665871603200,1711546154135367440
1711546154135372158,1711546673871603200,1711546154329905325,1711546154329909851,1711546675871603200,1550
1711546154137040519,1711546683871603200,1711546154334458308,1711546154334462885,1711546685871603200,1711546154137232767
1711546154137237519,1711546693871603200,1711546154343422458,1711546154343427004,1711546695871603200,6493
1711546154143849024,1711546704871603200,1711546154344337026,1711546154344338873,1711546705871603200,1711546154144043369
1711546154144047950,1711546713871603200,1711546154369366404,1711546154369370953,1711546715871603200,6644
1711546154150810940,1711546723871603200,1711546154384495553,1711546154384499683,1711546725871603200,1711546154151008751
1711546154151013702,1711546733871603200,1711546154393798138,1711546154393802258,1711546735871603200,33928
1711546154185060967,1711546743871603200,1711546154394717992,1711546154394723685,1711546745871603200,1711546154185262300
1711546154185267090,1711546753871603200,1711546154397910005,1711546154397914172,1711546756871603200,248
1711546154185633456,1711546763871603200,1711546154399088487,1711546154399092630,1711546765871603200,1711546154185715685
1711546154185720516,1711546773871603200,1711546154399561383,1711546154399563964,1711546775871603200,16003
1711546154201842676,1711546783871603200,1711546154403072471,1711546154403077019,1711546785871603200,1711546154202040632
1711546154202045387,1711546793871603200,1711546154424306872,1711546154424310999,1711546795871603200,769
