Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712098951534918838,1712098984383427328,1712098951545108531,1712098951545255826,1712098987383427328,10000
1712098951545092258,1712098994383427328,1712098951555610496,1712098951555614616,1712098996383427328,1712098951545507319
1712098951545512361,1712099003383427328,1712098951565969992,1712098951565974013,1712099005383427328,10000
1712098951555632708,1712099011383427328,1712098951576325265,1712098951576329335,1712099013383427328,1712098951555853377
1712098951555858086,1712099020383427328,1712098951586683161,1712098951586687235,1712099022383427328,10000
1712098951565978104,1712099028383427328,1712098951597039039,1712098951597043089,1712099030383427328,1712098951566211551
1712098951566216104,1712099037383427328,1712098951607397288,1712098951607401401,1712099039383427328,10000
1712098951576335931,1712099045383427328,1712098951617752049,1712098951617756131,1712099047383427328,1712098951576567743
1712098951576572195,1712099054383427328,1712098951628100899,1712098951628105041,1712099056383427328,10000
1712098951586692334,1712099062383427328,1712098951638458700,1712098951638462770,1712099064383427328,1712098951586924883
1712098951586929352,1712099071383427328,1712098951648809633,1712098951648813723,1712099073383427328,10000
1712098951597049451,1712099079383427328,1712098951659165577,1712098951659169710,1712099081383427328,1712098951597281637
1712098951597286521,1712099088383427328,1712098951669523150,1712098951669527180,1712099090383427328,10000
1712098951607406025,1712099096383427328,1712098951679876312,1712098951679880417,1712099098383427328,1712098951607639403
1712098951607643918,1712099105383427328,1712098951690222930,1712098951690226917,1712099107383427328,10000
1712098951617764517,1712099113383427328,1712098951700572357,1712098951700576393,1712099115383427328,1712098951617995969
1712098951618000713,1712099122383427328,1712098951710920849,1712098951710924922,1712099124383427328,10000
1712098951628120092,1712099130383427328,1712098951721273550,1712098951721277647,1712099132383427328,1712098951628343421
1712098951628347906,1712099139383427328,1712098951731629571,1712098951731633667,1712099141383427328,10000
1712098951638467472,1712099147383427328,1712098951741982801,1712098951741986871,1712099149383427328,1712098951638701561
1712098951638706292,1712099156383427328,1712098951752329890,1712098951752333969,1712099158383427328,10000
1712098951648826401,1712099164383427328,1712098951762684206,1712098951762688358,1712099166383427328,1712098951649052071
1712098951649056462,1712099173383427328,1712098951773034032,1712098951773038117,1712099175383427328,10000
1712098951659175331,1712099181383427328,1712098951783378955,1712098951783382927,1712099183383427328,1712098951659407858
1712098951659412524,1712099190383427328,1712098951793725495,1712098951793729764,1712099192383427328,10000
1712098951669532118,1712099198383427328,1712098951804072389,1712098951804076427,1712099200383427328,1712098951669763613
1712098951669768118,1712099207383427328,1712098951824492136,1712098951824496512,1712099209383427328,10000
1712098951679887832,1712099215383427328,1712098951834823089,1712098951834825999,1712099217383427328,1712098951680118778
1712098951680123277,1712099224383427328,1712098951845112678,1712098951845115564,1712099226383427328,10000
1712098951690242405,1712099232383427328,1712098951855454478,1712098951855458794,1712099234383427328,1712098951690464280
