Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548391023654084,1711548431859971072,1711548391035939679,1711548391036044495,1711548435859971072,10000
1711548391033785268,1711548443859971072,1711548391046262932,1711548391046265239,1711548446859971072,1711548391034018162
1711548391034023626,1711548453859971072,1711548391056483429,1711548391056493745,1711548456859971072,10000
1711548391044145002,1711548463859971072,1711548391066728680,1711548391066730559,1711548466859971072,1711548391044225881
1711548391044230691,1711548473859971072,1711548391076948818,1711548391076950573,1711548476859971072,10000
1711548391054350664,1711548483859971072,1711548391087160759,1711548391087162404,1711548485859971072,1711548391054450282
1711548391054455110,1711548493859971072,1711548391097374324,1711548391097375908,1711548496859971072,10000
1711548391064574616,1711548503859971072,1711548391107584686,1711548391107586279,1711548505859971072,1711548391064686271
1711548391064691126,1711548513859971072,1711548391117794486,1711548391117796076,1711548515859971072,10000
1711548391074811163,1711548523859971072,1711548391128003720,1711548391128005471,1711548525859971072,1711548391074906209
1711548391074910980,1711548533859971072,1711548391138201932,1711548391138203527,1711548535859971072,10000
1711548391085031128,1711548543859971072,1711548391148398230,1711548391148399693,1711548545859971072,1711548391085118640
1711548391085123495,1711548553859971072,1711548391158594488,1711548391158596548,1711548555859971072,10000
1711548391095243116,1711548563859971072,1711548391168790328,1711548391168791792,1711548565859971072,1711548391095332251
1711548391095336857,1711548573859971072,1711548391178989628,1711548391178991249,1711548575859971072,10000
1711548391105456161,1711548583859971072,1711548391189187970,1711548391189189437,1711548585859971072,1711548391105542780
1711548391105547755,1711548593859971072,1711548391199384177,1711548391199385631,1711548595859971072,10000
1711548391115666863,1711548603859971072,1711548391209579885,1711548391209581358,1711548605859971072,1711548391115751578
1711548391115756409,1711548613859971072,1711548391219777445,1711548391219778895,1711548615859971072,10000
1711548391125875552,1711548623859971072,1711548391229973153,1711548391229974783,1711548625859971072,1711548391125961153
1711548391125966074,1711548633859971072,1711548391240166430,1711548391240167910,1711548635859971072,10000
1711548391136085341,1711548643859971072,1711548391250359534,1711548391250361001,1711548645859971072,1711548391136158203
1711548391136162906,1711548653859971072,1711548391260559359,1711548391260561300,1711548655859971072,10000
1711548391146282088,1711548663859971072,1711548391270757719,1711548391270759826,1711548665859971072,1711548391146354338
1711548391146359112,1711548673859971072,1711548391280955428,1711548391280956892,1711548675859971072,10000
1711548391156477968,1711548683859971072,1711548391291150184,1711548391291151658,1711548685859971072,1711548391156550720
1711548391156555303,1711548693859971072,1711548391301344943,1711548391301346398,1711548695859971072,10000
1711548391166674230,1711548703859971072,1711548391311540347,1711548391311541839,1711548705859971072,1711548391166747164
1711548391166752008,1711548713859971072,1711548391321734988,1711548391321736477,1711548715859971072,10000
1711548391176871376,1711548723859971072,1711548391331930288,1711548391331931741,1711548725859971072,1711548391176946241
1711548391176951006,1711548733859971072,1711548391342124639,1711548391342126112,1711548735859971072,10000
1711548391187070289,1711548743859971072,1711548391352316949,1711548391352318447,1711548745859971072,1711548391187144016
1711548391187148779,1711548753859971072,1711548391362508983,1711548391362510606,1711548755859971072,10000
1711548391197268166,1711548763859971072,1711548391372705852,1711548391372707325,1711548765859971072,1711548391197340342
1711548391197345007,1711548773859971072,1711548391382903805,1711548391382905262,1711548775859971072,10000
1711548391207464512,1711548783859971072,1711548391393082606,1711548391393084078,1711548785859971072,1711548391207536194
1711548391207540958,1711548793859971072,1711548391403279104,1711548391403280580,1711548795859971072,10000
1711548391217661213,1711548803859971072,1711548391413477544,1711548391413479167,1711548805859971072,1711548391217735290
1711548391217740044,1711548813859971072,1711548391423673586,1711548391423675048,1711548815859971072,10000
1711548391227859582,1711548823859971072,1711548391433866382,1711548391433868031,1711548825859971072,1711548391227929297
1711548391227933957,1711548833859971072,1711548391444061381,1711548391444062851,1711548835859971072,10000
1711548391238053137,1711548843859971072,1711548391454258138,1711548391454259585,1711548845859971072,1711548391238121953
1711548391238126784,1711548853859971072,1711548391464453259,1711548391464454715,1711548855859971072,10000
1711548391248245985,1711548863859971072,1711548391474665569,1711548391474667128,1711548865859971072,1711548391248315549
1711548391248320344,1711548873859971072,1711548391486036104,1711548391486039740,1711548876859971072,10000
1711548391258439680,1711548883859971072,1711548391496243684,1711548391496245303,1711548885859971072,1711548391258517831
1711548391258522793,1711548893859971072,1711548391506438069,1711548391506439603,1711548895859971072,10000
1711548391268641453,1711548903859971072,1711548391516640993,1711548391516643718,1711548906859971072,1711548391268715419
1711548391268720135,1711548913859971072,1711548391526848912,1711548391526850876,1711548915859971072,10000
1711548391278839117,1711548923859971072,1711548391537042305,1711548391537043815,1711548925859971072,1711548391278911445
1711548391278916223,1711548933859971072,1711548391547238886,1711548391547240370,1711548935859971072,10000
1711548391289035284,1711548943859971072,1711548391557434790,1711548391557436255,1711548945859971072,1711548391289106039
1711548391289110814,1711548953859971072,1711548391567629202,1711548391567630812,1711548955859971072,10000
1711548391299229801,1711548963859971072,1711548391577824089,1711548391577825522,1711548965859971072,1711548391299300704
1711548391299305470,1711548973859971072,1711548391588018346,1711548391588019781,1711548975859971072,10000
1711548391309424691,1711548983859971072,1711548391598217390,1711548391598219134,1711548985859971072,1711548391309496288
1711548391309500835,1711548993859971072,1711548391608412306,1711548391608413769,1711548996859971072,10000
1711548391319619683,1711549003859971072,1711548391618675200,1711548391618676949,1711549005859971072,1711548391319691374
1711548391319696218,1711549013859971072,1711548391628872140,1711548391628873573,1711549015859971072,10000
1711548391329815072,1711549023859971072,1711548391639039875,1711548391639041312,1711549025859971072,1711548391329886017
1711548391329890764,1711549033859971072,1711548391649235032,1711548391649236459,1711549035859971072,10000
1711548391340009686,1711549043859971072,1711548391659429712,1711548391659431152,1711549045859971072,1711548391340080098
1711548391340084778,1711549053859971072,1711548391669623511,1711548391669624955,1711549055859971072,10000
1711548391350203620,1711549063859971072,1711548391679817652,1711548391679819254,1711549065859971072,1711548391350272616
1711548391350277350,1711549073859971072,1711548391690013112,1711548391690014559,1711549075859971072,10000
1711548391360396049,1711549083859971072,1711548391700208643,1711548391700210123,1711549085859971072,1711548391360464843
1711548391360469522,1711549093859971072,1711548391710404153,1711548391710405766,1711549095859971072,10000
